Country,Totpop,RIncDiffP,PopDiffP
Madagascar,20,1.159235669,1.428571429
Sri Lanka,20,2.033825631,1.052631579
Mozambique,22,1.600494234,1.294117647
Romania,22,1.328308899,0.956521739
Taiwan,23,0.990269493,1.045454545
Yemen Rep.,23,0.875050383,1.352941176
Malaysia,28,1.091588785,1.272727273
Peru,28,0.986777624,1.12
Venezuela RB,28,1.077662438,1.217391304
Nepal,29,1.047619048,1.260869565
Morocco,31,1.341275244,1.107142857
Uganda,31,1.586009174,1.347826087
Canada,33,1.526318876,1.1
Poland,38,1.164958788,0.974358974
Argentina,40,1.253421369,1.111111111
Colombia,45,1.184064726,1.184210526
Spain,46,0.829204545,1.15
Korea Rep.,49,1.630733945,1.065217391
South Africa,49,1.940538519,1.166666667
Italy,60,0.870435167,1.052631579
United Kingdom,61,1.558158105,1.051724138
France,64,1.438807214,1.066666667
Thailand,68,1.259711241,1.096774194
Turkey,71,1.008381299,1.14516129
Egypt Arab Rep.,78,0.939872457,1.2
Germany,82,1.182589013,1
Vietnam,85,1.663636364,1.133333333
Philippines,90,0.893725399,1.216216216
Mexico,111,1.242708242,1.144329897
Japan,128,1.073859463,1.015873016
Bangladesh,145,1.136833731,1.16
Nigeria,151,1.049909802,1.279661017
Pakistan,167,0.940659341,1.210144928
Brazil,192,1.051132086,1.136094675
Indonesia,235,1.568972105,1.129807692
United States,304,1.31417357,1.101449275
India,1191,1.280401035,1.169941061
China,1325,2.166131819,1.066827697